,title,institute,rate,ratingscount,level,enrollment,review_num,required_hour
414,"Performing Network, Path, and Text Analyses in SAS Visual Analytics",SAS,4.7,168,2,6820,20,4.0
415,SQL for Data Science with R,IBM,3.8,14,1,1811,,15.0
416,Machine Learning: Regression,University of Washington,4.8,5378,0,142383,1002,22.0
417,Introducción a La Inteligencia Artificial (IA),IBM,4.6,101,1,3769,35,9.0
418,Inferential Statistics,Duke University,4.8,2219,1,,,17.0
419,Bancos de dados e SQL para Ciência de Dados,IBM,4.6,13,1,1921,3,14.0
420,Estadística aplicada a los negocios,Universidad Austral,4.6,640,1,46013,305,19.0
421,"Big Data, Artificial Intelligence, and Ethics","University of California, Davis",4.6,337,1,18326,93,12.0
422,Experimental Design Basics,Arizona State University,4.7,143,2,9217,36,13.0
423,Code Free Data Science,University of California San Diego,4.3,85,1,9999,29,14.0
424,Population Health: Predictive Analytics,Universiteit Leiden,5.0,12,2,2489,8,18.0
425,Basic Recommender Systems,EIT Digital ,3.9,17,2,,4,12.0
426,Introduction to People Analytics,Moscow Institute of Physics and Technology,4.3,329,0,,,17.0
427,Building AI Applications with Watson APIs,IBM,4.3,572,2,11375,127,17.0
428,Population Health: Responsible Data Analysis,Universiteit Leiden,4.6,25,1,3146,6,21.0
429,Probabilistic Deep Learning with TensorFlow 2,Imperial College London,4.7,54,3,7822,19,53.0
430,Microsoft Azure for Data Engineering,Microsoft,4.6,9,2,,,6.0
431,Web of Data,EIT Digital ,4.2,73,2,3997,19,18.0
432,Production Machine Learning Systems,Google Cloud,4.6,867,3,19734,94,21.0
433,Business Analytics Capstone,University of Pennsylvania,4.5,647,2,,,17.0
434,End-to-End Machine Learning with TensorFlow on GCP,Google Cloud,4.5,1578,3,51717,253,13.0
435,Applied Social Network Analysis in Python,University of Michigan,4.7,2479,2,81149,417,29.0
436,"Managing, Describing, and Analyzing Data",University of Colorado Boulder,4.3,15,1,2078,6,17.0
437,Big Data Modeling and Management Systems,University of California San Diego,4.4,2880,0,82301,491,13.0
438,A Complete Reinforcement Learning System (Capstone),University of Alberta,4.7,518,2,13232,110,16.0
439,Framework for Data Collection and Analysis,"University of Maryland, College Park",4.2,606,2,23227,139,10.0
440,Serverless Data Processing with Dataflow: Foundations,Google Cloud,4.2,17,2,1955,2,3.0
441,Fitting Statistical Models to Data with Python,University of Michigan,4.4,560,2,24317,103,15.0
442,Introduction to Deep Learning,HSE University,4.5,1811,3,165180,424,34.0
443,Machine Learning Using SAS Viya,SAS,4.7,79,2,,,17.0
444,Guided Tour of Machine Learning in Finance,New York University,3.8,607,2,26490,195,24.0
445,Поиск структуры в данных,Moscow Institute of Physics and Technology,4.7,1441,2,21114,163,31.0
446,Построение выводов по данным,Moscow Institute of Physics and Technology,4.7,1013,3,21650,153,27.0
447,Data Mining Pipeline,University of Colorado Boulder,4.5,,2,,,21.0
448,Text Retrieval and Search Engines,University of Illinois at Urbana-Champaign,4.5,845,0,,,17.0
449,Modern Regression Analysis in R,University of Colorado Boulder,4.5,,2,,,45.0
450,Econometrics,HSE University,4.3,8,2,,,17.0
451,Microsoft Azure Machine Learning,Microsoft,4.8,30,1,1742,4,11.0
452,Statistical Inference,Johns Hopkins University,4.2,4280,0,,,17.0
453,Managing Big Data with MySQL,Duke University,4.7,3765,0,,,17.0
454,Applied Text Mining in Python,University of Michigan,4.2,3548,2,117750,687,29.0
455,Getting Started with Data Visualization in R,Johns Hopkins University,4.8,112,1,5741,36,12.0
456,Mathematics for computer vision,HSE University,2.9,7,2,1524,,19.0
457,Algorithms for DNA Sequencing,Johns Hopkins University,4.7,733,0,,,17.0
458,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,National Taiwan University,4.9,838,1,38293,153,10.0
459,Data Science Fundamentals for Data Analysts,Databricks,4.1,15,2,2759,,19.0
460,MLOps (Machine Learning Operations) Fundamentals,Google Cloud,4.0,282,2,20895,91,16.0
461,Feature Engineering,Google Cloud,4.5,1654,2,,,17.0
462,Deep Learning and Reinforcement Learning,IBM,4.7,58,2,5055,13,14.0
463,Advanced Data Science Capstone,IBM,4.6,361,3,12945,66,9.0
464,Statistical Inference for Estimation in Data Science,University of Colorado Boulder,4.5,,2,,,27.0
465,"Introduction to Trading, Machine Learning & GCP",Google Cloud,4.0,655,2,28640,180,9.0
466,AI Capstone Project with Deep Learning,IBM,4.5,347,3,9050,62,16.0
467,"Introduction to Data, Signal, and Image Analysis with MATLAB",Vanderbilt University,4.7,95,2,16030,32,23.0
468,Customising your models with TensorFlow 2,Imperial College London,4.8,120,2,9186,48,27.0
469,Using Data for Geographic Mapping and Forecasting in SAS Visual Analytics,SAS,4.8,183,2,7112,22,5.0
470,Data Analysis in R with RStudio & Tidyverse,Codio,4.5,,1,,,10.0
471,Exploratory Data Analysis with MATLAB,MathWorks,4.8,685,1,29698,195,19.0
472,"Basic Data Descriptors, Statistical Distributions, and Application to Business Decisions",Rice University,4.7,2100,0,43315,355,21.0
473,Interprofessional Healthcare Informatics,University of Minnesota,4.4,278,0,,,17.0
474,Social Media Data Analytics,University of Washington,4.1,266,2,34642,71,13.0
475,Data Visualization with Tableau Project,"University of California, Davis",4.6,398,2,20828,66,12.0
476,Análise de dados com Python,IBM,4.5,,1,,,19.0
477,"Machine Learning Under the Hood: The Technical Tips, Tricks, and Pitfalls",SAS,4.8,52,1,3329,23,17.0
478,Experimentation for Improvement,McMaster University,4.8,815,2,,,17.0
479,Specialized Models: Time Series and Survival Analysis,IBM,4.5,62,2,4983,19,11.0
480,Data Science as a Field,University of Colorado Boulder,4.9,7,2,,,10.0
481,Unsupervised Machine Learning,IBM,4.8,84,2,5124,20,9.0
482,SQL for Data Science Capstone Project,"University of California, Davis",3.8,59,2,16768,,35.0
483,Data Visualization and Communication with Tableau,Duke University,4.7,2992,0,,,17.0
484,Launching into Machine Learning,Google Cloud,4.6,4069,2,36929,465,22.0
485,Python for Genomic Data Science,Johns Hopkins University,4.3,1337,0,,,17.0
486,Probabilistic Graphical Models 2: Inference,Stanford University,4.6,468,3,21703,73,38.0
487,Computational Social Science Methods,"University of California, Davis",4.7,225,1,8390,61,11.0
488,"The Power of Machine Learning: Boost Business, Accumulate Clicks, Fight Fraud, and Deny Deadbeats",SAS,4.8,125,1,8783,53,14.0
489,Fundamentos de estadística aplicada,Universidad de los Andes,4.4,26,2,3878,13,29.0
490,Базы данных и SQL в обработке и анализе данных,IBM,4.9,8,1,3127,,14.0
491,Introduction to Data Analytics for Business,University of Colorado Boulder,4.7,2758,0,148859,743,12.0
492,Getting and Cleaning Data,Johns Hopkins University,4.6,7845,0,,,17.0
493,The R Programming Environment,Johns Hopkins University,4.3,1112,2,47365,306,27.0
494,Machine Learning Foundations: A Case Study Approach,University of Washington,4.6,12622,0,,,17.0
